SCHOOL_CODE,Pass_Percentage,Result
DD0363,100.00%,Reward
DD0365,100.00%,Reward
DD0368,100.00%,Reward
DD0369,100.00%,Reward
DD0370,100.00%,Reward
DD0371,0.00%,Attention
DD0372,100.00%,Reward
DD0373,100.00%,Reward
DD0374,100.00%,Reward
DD0375,50.00%,Attention
DD0376,0.00%,Attention
DD0378,100.00%,Reward
DD0380,75.00%,Attention
DD0383,75.00%,Attention
DD0385,100.00%,Reward
DD0386,100.00%,Reward
DD0388,100.00%,Reward
DD0389,100.00%,Reward
DD0391,0.00%,Attention
DD0392,0.00%,Attention
DD0394,100.00%,Reward
DD0397,100.00%,Reward
DD0398,100.00%,Reward
DD0400,100.00%,Reward
DD0401,100.00%,Reward
DD0402,100.00%,Reward
DD0403,100.00%,Reward
DD0404,0.00%,Attention
DD0405,100.00%,Reward
DD0406,50.00%,Attention
DD0407,0.00%,Attention
DD0412,100.00%,Reward
DD0416,100.00%,Reward
DD0417,100.00%,Reward
DD0418,50.00%,Attention
DD0423,66.67%,Attention
DD0424,100.00%,Reward
DD0426,100.00%,Reward
DD0427,100.00%,Reward
DD0428,0.00%,Attention
DD0429,100.00%,Reward
DD0430,0.00%,Attention
DD0432,0.00%,Attention
DD0434,100.00%,Reward
DD0435,100.00%,Reward
DD0436,100.00%,Reward
DD0437,100.00%,Reward
DD0439,100.00%,Reward
DD0441,100.00%,Reward
DD0442,100.00%,Reward
DD0447,0.00%,Attention
DD0454,100.00%,Reward
DD0455,0.00%,Attention
DD0457,50.00%,Attention
EA0001,40.00%,Attention
EA0002,100.00%,Reward
EA0003,42.86%,Attention
EA0004,60.00%,Attention
EA0005,60.00%,Attention
EA0006,0.00%,Attention
EA0007,80.00%,Reward
EA0008,66.67%,Attention
EA0009,71.43%,Attention
EA0010,80.00%,Reward
EA0011,81.82%,Reward
EA0012,100.00%,Reward
EA0013,50.00%,Attention
EA0014,50.00%,Attention
EA0015,66.67%,Attention
EA0016,100.00%,Reward
EA0018,33.33%,Attention
EA0019,66.67%,Attention
EA0020,80.00%,Reward
EA0021,40.00%,Attention
EA0022,0.00%,Attention
EA0023,50.00%,Attention
EA0024,22.22%,Attention
EA0025,100.00%,Reward
EA0026,0.00%,Attention
EA0027,100.00%,Reward
EA0028,0.00%,Attention
EA0029,100.00%,Reward
EA0030,90.91%,Reward
EA0031,20.00%,Attention
EA0032,100.00%,Reward
EA0033,100.00%,Reward
EA0034,0.00%,Attention
EA0035,0.00%,Attention
EA0036,50.00%,Attention
EA0037,100.00%,Reward
EA0038,50.00%,Attention
EA0040,100.00%,Reward
EA0041,100.00%,Reward
EA0042,100.00%,Reward
EA0043,50.00%,Attention
EA0044,60.00%,Attention
EA0045,50.00%,Attention
EA0046,100.00%,Reward
EA0047,50.00%,Attention
EA0048,100.00%,Reward
EA0049,100.00%,Reward
EA0050,66.67%,Attention
EA0051,100.00%,Reward
EA0052,100.00%,Reward
EA0053,100.00%,Reward
EA0054,75.00%,Attention
EA0055,85.71%,Reward
EA0056,100.00%,Reward
EA0057,0.00%,Attention
EA0058,100.00%,Reward
EA0059,50.00%,Attention
EA0060,90.00%,Reward
EA0062,66.67%,Attention
EA0063,100.00%,Reward
EA0064,100.00%,Reward
EA0065,66.67%,Attention
EA0066,66.67%,Attention
EA0067,25.00%,Attention
EA0068,60.00%,Attention
EA0070,0.00%,Attention
EA0072,50.00%,Attention
EA0073,0.00%,Attention
EA0075,66.67%,Attention
EA0076,0.00%,Attention
EA0078,0.00%,Attention
EA0079,0.00%,Attention
EA0080,0.00%,Attention
EA0081,66.67%,Attention
EA0082,100.00%,Reward
EA0083,100.00%,Reward
EA0085,100.00%,Reward
EA0087,100.00%,Reward
EA0090,0.00%,Attention
EA0091,100.00%,Reward
EA0092,25.00%,Attention
EA0093,50.00%,Attention
EA0094,100.00%,Reward
EA0095,100.00%,Reward
EA0097,100.00%,Reward
EA0098,100.00%,Reward
EA0099,100.00%,Reward
EA0101,50.00%,Attention
EA0103,100.00%,Reward
EA0104,0.00%,Attention
EA0105,0.00%,Attention
EA0107,100.00%,Reward
EA0108,100.00%,Reward
EA0109,100.00%,Reward
EA0111,100.00%,Reward
EA0112,66.67%,Attention
EA0113,0.00%,Attention
EA0114,100.00%,Reward
EA0115,100.00%,Reward
EA0118,100.00%,Reward
EA0119,100.00%,Reward
EA0121,100.00%,Reward
EA0122,50.00%,Attention
EA0123,60.00%,Attention
EA0126,100.00%,Reward
EA0128,80.00%,Reward
EA0129,66.67%,Attention
EA0130,100.00%,Reward
EA0131,66.67%,Attention
EA0134,0.00%,Attention
EA0135,83.33%,Reward
EA0136,100.00%,Reward
EA0137,100.00%,Reward
EA0140,100.00%,Reward
EA0142,100.00%,Reward
EA0144,100.00%,Reward
EA0145,100.00%,Reward
EA0146,100.00%,Reward
EA0147,100.00%,Reward
EA0149,100.00%,Reward
EA0150,100.00%,Reward
EA0151,100.00%,Reward
EA0154,100.00%,Reward
EA0155,100.00%,Reward
EA0156,50.00%,Attention
EA0157,100.00%,Reward
EA0158,50.00%,Attention
EA0159,0.00%,Attention
EA0160,85.71%,Reward
EA0161,100.00%,Reward
EA0162,100.00%,Reward
EA0163,0.00%,Attention
EA0165,100.00%,Reward
EA0166,100.00%,Reward
EA0168,33.33%,Attention
EA0170,100.00%,Reward
EA0172,100.00%,Reward
EA0177,100.00%,Reward
EA0178,0.00%,Attention
EA0180,100.00%,Reward
EA0181,75.00%,Attention
EA0185,0.00%,Attention
EA0186,100.00%,Reward
EA0187,100.00%,Reward
EA0190,100.00%,Reward
EA0191,100.00%,Reward
EA0192,66.67%,Attention
EA0194,66.67%,Attention
EA0195,100.00%,Reward
EA0197,100.00%,Reward
EA0198,100.00%,Reward
EA0200,0.00%,Attention
EE0001,50.00%,Attention
EE0002,80.00%,Reward
EE0003,83.33%,Reward
EE0004,14.29%,Attention
EE0005,64.29%,Attention
EE0006,57.14%,Attention
EE0007,33.33%,Attention
EE0008,85.71%,Reward
EE0009,71.43%,Attention
EE0010,25.00%,Attention
EE0011,87.50%,Reward
EE0012,100.00%,Reward
EE0013,75.00%,Attention
EE0014,66.67%,Attention
EE0015,100.00%,Reward
EE0016,50.00%,Attention
EE0017,33.33%,Attention
EE0018,33.33%,Attention
EE0019,43.75%,Attention
EE0020,100.00%,Reward
EE0021,50.00%,Attention
EE0022,0.00%,Attention
EE0023,60.00%,Attention
EE0024,100.00%,Reward
EE0025,71.43%,Attention
EE0026,94.12%,Reward
EE0027,60.00%,Attention
EE0028,100.00%,Reward
EE0029,40.00%,Attention
EE0030,100.00%,Reward
EE0031,100.00%,Reward
EE0032,0.00%,Attention
EE0034,100.00%,Reward
EE0035,60.00%,Attention
EE0036,40.00%,Attention
EE0037,60.00%,Attention
EE0038,60.00%,Attention
